Codigo Localidad,Localidad,TipoSector,Codigo Barrio,Barrio,BarrioAnt
4,SAN CRISTOBAL,URBANO,1101,LAS BRISAS,
4,SAN CRISTOBAL,URBANO,1102,BUENOS AIRES,
4,SAN CRISTOBAL,URBANO,1103,VITELMA,
4,SAN CRISTOBAL,URBANO,1104,MOLINOS DE ORIENTE,
4,SAN CRISTOBAL,URBANO,1106,SAN BLAS,
4,SAN CRISTOBAL,URBANO,1107,LAS MERCEDES,
4,SAN CRISTOBAL,URBANO,1108,SAN CRISTOBAL SUR,
4,SAN CRISTOBAL,URBANO,1109,LA MARIA,
4,SAN CRISTOBAL,URBANO,1110,SAN JAVIER,
4,SAN CRISTOBAL,URBANO,1111,SANTA ANA SUR,
4,SAN CRISTOBAL,URBANO,1112,PRIMERO DE MAYO,
4,SAN CRISTOBAL,URBANO,1113,SAN BLAS II,
4,SAN CRISTOBAL,URBANO,1114,VELODROMO,
4,SAN CRISTOBAL,URBANO,1115,MONTE CARLO,
4,SAN CRISTOBAL,URBANO,1116,TIBAQUE URBANO,
4,SAN CRISTOBAL,URBANO,1118,LOS LAURELES SURORIENTAL I,201305
4,SAN CRISTOBAL,URBANO,1119,AGUAS CLARAS I,201304
15,ANTONIO NARIÑO,URBANO,1201,SEVILLA,
15,ANTONIO NARIÑO,URBANO,1202,CIUDAD BERNA,
15,ANTONIO NARIÑO,URBANO,1203,CARACAS,
15,ANTONIO NARIÑO,URBANO,1204,CIUDAD JARDIN SUR,
4,SAN CRISTOBAL,URBANO,1205,SOCIEGO,
4,SAN CRISTOBAL,URBANO,1206,QUINTA RAMOS,
4,SAN CRISTOBAL,URBANO,1207,NARIÑO SUR,
15,ANTONIO NARIÑO,URBANO,1208,LA HORTUA,
4,SAN CRISTOBAL,URBANO,1209,MODELO SUR,
4,SAN CRISTOBAL,URBANO,1210,CALVO SUR,
15,ANTONIO NARIÑO,URBANO,1211,POLICARPA,
4,SAN CRISTOBAL,URBANO,1301,GRANADA SUR,
4,SAN CRISTOBAL,URBANO,1302,MONTEBELLO,
4,SAN CRISTOBAL,URBANO,1303,CORDOBA,
4,SAN CRISTOBAL,URBANO,1304,BELLO HORIZONTE,
4,SAN CRISTOBAL,URBANO,1305,ATENAS,
4,SAN CRISTOBAL,URBANO,1306,SAN PEDRO,
4,SAN CRISTOBAL,URBANO,1307,RAMAJAL,
4,SAN CRISTOBAL,URBANO,1308,SANTA INES SUR,
4,SAN CRISTOBAL,URBANO,1309,SAN VICENTE,
4,SAN CRISTOBAL,URBANO,1310,LA VICTORIA,
4,SAN CRISTOBAL,URBANO,1311,LA GLORIA OCCIDENTAL,
4,SAN CRISTOBAL,URBANO,1312,LOS ALPES,
4,SAN CRISTOBAL,URBANO,1313,BELLAVISTA SUR,
4,SAN CRISTOBAL,URBANO,1314,SAN JOSE SUR ORIENTAL,
4,SAN CRISTOBAL,URBANO,1315,ALTAMIRA,
4,SAN CRISTOBAL,URBANO,1316,MORALBA,
4,SAN CRISTOBAL,URBANO,1317,PUENTE COLORADO,
4,SAN CRISTOBAL,URBANO,1318,QUINDIO,
4,SAN CRISTOBAL,URBANO,1319,LA GLORIA ORIENTAL,
4,SAN CRISTOBAL,URBANO,1320,NUEVA GLORIA,
4,SAN CRISTOBAL,URBANO,1321,SAN MARTIN SUR,
4,SAN CRISTOBAL,URBANO,1322,SAN RAFAEL USME,
4,SAN CRISTOBAL,URBANO,1323,NUEVA DELHI,
4,SAN CRISTOBAL,URBANO,1324,EL PINAR,
4,SAN CRISTOBAL,URBANO,1325,JUAN REY (LA PAZ),
4,SAN CRISTOBAL,URBANO,1327,LOS LIBERTADORES,
4,SAN CRISTOBAL,URBANO,1328,SANTA RITA SUR ORIENTAL,
4,SAN CRISTOBAL,URBANO,1329,EL PARAISO,
4,SAN CRISTOBAL,URBANO,1330,CANADA O GUIRA,
4,SAN CRISTOBAL,URBANO,1331,ALTOS DEL ZUQUE,
4,SAN CRISTOBAL,URBANO,1332,VILLABEL,
4,SAN CRISTOBAL,URBANO,1333,ALTOS DEL POBLADO,
4,SAN CRISTOBAL,URBANO,1334,LAS GAVIOTAS,
5,USME,URBANO,1335,VILLA DIANA,
5,USME,URBANO,1336,JUAN JOSE RONDON I,
5,USME,URBANO,1337,SAN PEDRO SUR,
4,SAN CRISTOBAL,URBANO,1338,LA BELLEZA,
4,SAN CRISTOBAL,URBANO,1339,BOSQUE DE LOS ALPES,
5,USME,URBANO,1340,TIHUAQUE,
4,SAN CRISTOBAL,URBANO,1342,ALTOS DEL ZIPA,
5,USME,URBANO,1344,LOS SOCHES,
5,USME,URBANO,1345,DOÑA LILIANA,
5,USME,URBANO,1346,CIUDAD LONDRES I,
5,USME,URBANO,1347,JUAN REY SUR,
5,USME,URBANO,1348,LA CABAÑA,
5,USME,URBANO,1349,CIUDAD LONDRES,
4,SAN CRISTOBAL,URBANO,1350,YOMASA,
4,SAN CRISTOBAL,URBANO,1352,GUACAMAYAS II,
4,SAN CRISTOBAL,URBANO,1353,GUACAMAYAS IV,
4,SAN CRISTOBAL,URBANO,1354,GUACAMAYAS III,
4,SAN CRISTOBAL,URBANO,1355,LAS GUACAMAYAS I,
4,SAN CRISTOBAL,URBANO,1356,VILLA DEL CERRO,
4,SAN CRISTOBAL,URBANO,1357,SANTA INES SUR II,
4,SAN CRISTOBAL,URBANO,1358,CHIGUAZA URBANO,
4,SAN CRISTOBAL,URBANO,1362,ARBOLEDA SANTA TERESITA,
18,RAFAEL URIBE URIBE,URBANO,1401,SAN JOSE SUR,
18,RAFAEL URIBE URIBE,URBANO,1402,GUSTAVO RESTREPO,
18,RAFAEL URIBE URIBE,URBANO,1403,HOSPITAL SAN CARLOS,
18,RAFAEL URIBE URIBE,URBANO,1404,SOSIEGO SUR,
4,SAN CRISTOBAL,URBANO,1405,VEINTE DE JULIO,
4,SAN CRISTOBAL,URBANO,1406,SAN ISIDRO,89
4,SAN CRISTOBAL,URBANO,1407,SURAMERICA,90
4,SAN CRISTOBAL,URBANO,1408,VILLA DE LOS ALPES,91
4,SAN CRISTOBAL,URBANO,1409,LAS LOMAS,92
18,RAFAEL URIBE URIBE,URBANO,1410,MARCO FIDEL SUAREZ,93
18,RAFAEL URIBE URIBE,URBANO,1411,SAN JORGE SUR,94
18,RAFAEL URIBE URIBE,URBANO,1412,GRANJAS SAN PABLO,95
18,RAFAEL URIBE URIBE,URBANO,1413,LA RESURRECCION,96
18,RAFAEL URIBE URIBE,URBANO,1414,MOLINOS DEL SUR,97
18,RAFAEL URIBE URIBE,URBANO,1415,MARCO FIDEL SUAREZ I,98
18,RAFAEL URIBE URIBE,URBANO,1416,SAN AGUSTIN,99
18,RAFAEL URIBE URIBE,URBANO,1417,LOS MOLINOS,100
18,RAFAEL URIBE URIBE,URBANO,1418,MARRUECOS,101
18,RAFAEL URIBE URIBE,URBANO,1419,CALLEJON SANTA BARBARA,102
18,RAFAEL URIBE URIBE,URBANO,1420,EL PLAYON,103
18,RAFAEL URIBE URIBE,URBANO,1421,DIANA TURBAY,104
18,RAFAEL URIBE URIBE,URBANO,1422,DIANA TURBAY ARRAYANES,105
18,RAFAEL URIBE URIBE,URBANO,1423,ARBOLEDA SUR,106
4,SAN CRISTOBAL,URBANO,1424,BARCELONA SUR,107
18,RAFAEL URIBE URIBE,URBANO,1425,GRANJAS DE SANTA SOFIA,108
18,RAFAEL URIBE URIBE,URBANO,1426,SAN LUIS,109
18,RAFAEL URIBE URIBE,URBANO,1427,PUERTO RICO,110
18,RAFAEL URIBE URIBE,URBANO,1428,CERROS DE ORIENTE,111
18,RAFAEL URIBE URIBE,URBANO,1429,GUIPARMA,112
4,SAN CRISTOBAL,URBANO,1430,VILLA DE LOS ALPES I,113
18,RAFAEL URIBE URIBE,URBANO,1431,LA RESURRECCION I,114
18,RAFAEL URIBE URIBE,URBANO,1432,DIANA TURBAY CULTIVOS,115
18,RAFAEL URIBE URIBE,URBANO,1434,CARMEN DEL SOL,116
18,RAFAEL URIBE URIBE,URBANO,1435,LOS ARRAYANES II,117
15,ANTONIO NARIÑO,URBANO,2101,LA FRAGUITA,118
15,ANTONIO NARIÑO,URBANO,2102,SAN ANTONIO,119
15,ANTONIO NARIÑO,URBANO,2103,RESTREPO,120
15,ANTONIO NARIÑO,URBANO,2104,RESTREPO,
,,,,OCCIDENTAL,
15,ANTONIO NARIÑO,URBANO,2105,SANTANDER,
15,ANTONIO NARIÑO,URBANO,2106,SENA,
15,ANTONIO NARIÑO,URBANO,2107,LA FRAGUA,
18,RAFAEL URIBE URIBE,URBANO,2201,OLAYA,
18,RAFAEL URIBE URIBE,URBANO,2202,QUIROGA,
18,RAFAEL URIBE URIBE,URBANO,2203,QUIROGA CENTRAL,
18,RAFAEL URIBE URIBE,URBANO,2204,QUIROGA SUR,
18,RAFAEL URIBE URIBE,URBANO,2205,SANTA LUCIA,
18,RAFAEL URIBE URIBE,URBANO,2209,QUIROGA I,
15,ANTONIO NARIÑO,URBANO,2301,EDUARDO FREY,
15,ANTONIO NARIÑO,URBANO,2302,SANTANDER SUR,
18,RAFAEL URIBE URIBE,URBANO,2303,CENTENARIO,
18,RAFAEL URIBE URIBE,URBANO,2304,SANTIAGO PEREZ,
18,RAFAEL URIBE URIBE,URBANO,2305,LIBERTADOR,
18,RAFAEL URIBE URIBE,URBANO,2306,BRAVO PAEZ,
18,RAFAEL URIBE URIBE,URBANO,2307,INGLES,
18,RAFAEL URIBE URIBE,URBANO,2308,CLARET,
15,ANTONIO NARIÑO,URBANO,2309,VILLA MAYOR ORIENTAL,
18,RAFAEL URIBE URIBE,URBANO,2310,MURILLO TORO,
18,RAFAEL URIBE URIBE,URBANO,2311,VILLA MAYOR,
6,TUNJUELITO,URBANO,2401,TUNAL ORIENTAL,
6,TUNJUELITO,URBANO,2402,SAN VICENTE FERRER,
6,TUNJUELITO,URBANO,2403,VENECIA OCCIDENTAL,
6,TUNJUELITO,URBANO,2404,VENECIA,
6,TUNJUELITO,URBANO,2405,ESCUELA GENERAL SANTANDER,
6,TUNJUELITO,URBANO,2406,SAMORE,
6,TUNJUELITO,URBANO,2407,EL CARMEN,
6,TUNJUELITO,URBANO,2408,FATIMA,
6,TUNJUELITO,URBANO,2409,NUEVO MUZU,
6,TUNJUELITO,URBANO,2410,PARQUE EL TUNAL,
6,TUNJUELITO,URBANO,2411,ISLA DEL SOL,
19,CIUDAD BOLIVAR,URBANO,2412,VERONA,
6,TUNJUELITO,URBANO,2413,MUZU,
19,CIUDAD BOLIVAR,URBANO,2414,ISMAEL PERDOMO,
19,CIUDAD BOLIVAR,URBANO,2415,MADELENA,
19,CIUDAD BOLIVAR,URBANO,2416,EL ENSUEÑO,
19,CIUDAD BOLIVAR,URBANO,2417,BARLOVENTO,
19,CIUDAD BOLIVAR,URBANO,2418,LA ESTANCIA,
19,CIUDAD BOLIVAR,URBANO,2419,RINCON DE LA VALVANERA,
19,CIUDAD BOLIVAR,URBANO,2420,LA CORUÑA,
19,CIUDAD BOLIVAR,URBANO,2421,RAFAEL ESCAMILLA,
19,CIUDAD BOLIVAR,URBANO,2422,ATLANTA,
19,CIUDAD BOLIVAR,URBANO,2423,ESPINO,
19,CIUDAD BOLIVAR,URBANO,2424,RINCON DE GALICIA,
19,CIUDAD BOLIVAR,URBANO,2426,SANTO DOMINGO,
19,CIUDAD BOLIVAR,URBANO,2427,GALICIA,
19,CIUDAD BOLIVAR,URBANO,2428,PRIMAVERA II,
19,CIUDAD BOLIVAR,URBANO,2429,MARIA CANO,
19,CIUDAD BOLIVAR,URBANO,2430,LAS BRISAS,
19,CIUDAD BOLIVAR,URBANO,2431,POTOSI,
19,CIUDAD BOLIVAR,URBANO,2432,ARBORIZADORA BAJA,
19,CIUDAD BOLIVAR,URBANO,2433,EL PEÑON DEL CORTIJO,
19,CIUDAD BOLIVAR,URBANO,2434,JERUSALEN,
19,CIUDAD BOLIVAR,URBANO,2435,EL CHIRCAL SUR,
19,CIUDAD BOLIVAR,URBANO,2436,BELLAVISTA,
19,CIUDAD BOLIVAR,URBANO,2437,LA PRADERA,
19,CIUDAD BOLIVAR,URBANO,2438,SIERRA MORENA,
19,CIUDAD BOLIVAR,URBANO,2439,SIERRA MORENA,
19,CIUDAD BOLIVAR,URBANO,2440,SIERRA MORENA,
19,CIUDAD BOLIVAR,URBANO,2441,LOS TRES REYES I,
19,CIUDAD BOLIVAR,URBANO,2442,SANTA VIVIANA,
19,CIUDAD BOLIVAR,URBANO,2443,LA PRIMAVERA I,
19,CIUDAD BOLIVAR,URBANO,2444,SIERRA MORENA II,
19,CIUDAD BOLIVAR,URBANO,2445,CARACOLI,
19,CIUDAD BOLIVAR,URBANO,2446,LOS TRES REYES,
19,CIUDAD BOLIVAR,URBANO,2447,EL MIRADOR DE LA ESTANCIA,
19,CIUDAD BOLIVAR,URBANO,2448,PERDOMO ALTO,
19,CIUDAD BOLIVAR,URBANO,2449,ESPINO I,
19,CIUDAD BOLIVAR,URBANO,2450,PERDOMO ALTO,
19,CIUDAD BOLIVAR,URBANO,2451,SAN ANTONIO DEL MIRADOR,
19,CIUDAD BOLIVAR,URBANO,2453,CIUDAD BOLIVAR,
19,CIUDAD BOLIVAR,URBANO,2455,LA VALVANERA,
19,CIUDAD BOLIVAR,URBANO,2456,QUIBA I,
19,CIUDAD BOLIVAR,URBANO,2460,ARBORIZADORA ALTA I,
19,CIUDAD BOLIVAR,URBANO,2461,ARBORIZADORA ALTA II,
6,TUNJUELITO,URBANO,2501,SAN CARLOS,
